"Interval start","Graph 1"
"0.000","3"
"1.000","8"
"2.000","133"
"3.000","83"
"4.000","135"
"5.000","69"
"6.000","104"
"7.000","135"
"8.000","135"
"9.000","127"
"10.000","164"
"11.000","126"
"12.000","133"
"13.000","139"
"14.000","133"
"15.000","132"
"16.000","132"
"17.000","138"
"18.000","141"
"19.000","133"
"20.000","134"
"21.000","134"
"22.000","202"
"23.000","143"
"24.000","164"
"25.000","145"
"26.000","141"
"27.000","154"
"28.000","144"
"29.000","129"
"30.000","131"
"31.000","142"
"32.000","138"
"33.000","142"
"34.000","135"
"35.000","174"
"36.000","135"
"37.000","149"
"38.000","193"
"39.000","145"
"40.000","135"
"41.000","130"
"42.000","139"
"43.000","135"
"44.000","149"
"45.000","131"
"46.000","131"
"47.000","131"
"48.000","125"
"49.000","179"
"50.000","138"
"51.000","134"
"52.000","127"
"53.000","163"
"54.000","181"
"55.000","130"
"56.000","129"
"57.000","132"
"58.000","136"
"59.000","138"
"60.000","132"
"61.000","144"
"62.000","143"
"63.000","147"
"64.000","143"
"65.000","147"
"66.000","151"
"67.000","207"
"68.000","144"
"69.000","142"
"70.000","136"
"71.000","130"
"72.000","135"
"73.000","144"
"74.000","139"
"75.000","133"
"76.000","134"
"77.000","180"
"78.000","133"
"79.000","133"
"80.000","135"
"81.000","140"
"82.000","147"
"83.000","138"
"84.000","130"
"85.000","132"
"86.000","129"
"87.000","136"
"88.000","130"
"89.000","145"
"90.000","122"
"91.000","132"
"92.000","127"
"93.000","153"
"94.000","135"
"95.000","132"
"96.000","151"
"97.000","139"
"98.000","186"
"99.000","178"
"100.000","145"
"101.000","132"
"102.000","129"
"103.000","140"
"104.000","133"
"105.000","185"
"106.000","130"
"107.000","128"
"108.000","148"
"109.000","133"
"110.000","146"
"111.000","124"
"112.000","150"
"113.000","129"
"114.000","135"
"115.000","140"
"116.000","131"
"117.000","131"
"118.000","138"
"119.000","133"
"120.000","139"
"121.000","134"
"122.000","124"
"123.000","145"
"124.000","136"
"125.000","149"
"126.000","320"
"127.000","134"
"128.000","136"
"129.000","186"
"130.000","134"
"131.000","128"
"132.000","134"
"133.000","135"
"134.000","136"
"135.000","178"
"136.000","131"
"137.000","132"
"138.000","128"
"139.000","154"
"140.000","128"
"141.000","134"
"142.000","132"
"143.000","125"
"144.000","132"
"145.000","137"
"146.000","130"
"147.000","128"
"148.000","178"
"149.000","130"
"150.000","139"
"151.000","133"
"152.000","127"
"153.000","157"
"154.000","130"
"155.000","130"
"156.000","124"
"157.000","132"
"158.000","132"
"159.000","128"
"160.000","177"
"161.000","127"
"162.000","129"
"163.000","125"
"164.000","140"
"165.000","132"
"166.000","144"
"167.000","181"
"168.000","146"
"169.000","133"
"170.000","126"
"171.000","132"
"172.000","127"
"173.000","129"
"174.000","131"
"175.000","131"
"176.000","123"
"177.000","141"
"178.000","138"
"179.000","137"
"180.000","136"
"181.000","140"
"182.000","157"
"183.000","147"
"184.000","140"
"185.000","143"
"186.000","130"
"187.000","135"
"188.000","136"
"189.000","149"
"190.000","177"
"191.000","130"
"192.000","130"
"193.000","131"
"194.000","134"
"195.000","124"
"196.000","171"
"197.000","138"
"198.000","131"
"199.000","180"
"200.000","127"
"201.000","133"
"202.000","121"
"203.000","137"
"204.000","143"
"205.000","134"
"206.000","131"
"207.000","135"
"208.000","142"
"209.000","135"
"210.000","137"
"211.000","157"
"212.000","135"
"213.000","140"
"214.000","135"
"215.000","139"
"216.000","123"
"217.000","135"
"218.000","130"
"219.000","136"
"220.000","128"
"221.000","131"
"222.000","176"
"223.000","128"
"224.000","135"
"225.000","160"
"226.000","131"
"227.000","155"
"228.000","129"
"229.000","139"
"230.000","125"
"231.000","133"
"232.000","176"
"233.000","130"
"234.000","129"
"235.000","134"
"236.000","125"
"237.000","134"
"238.000","133"
"239.000","151"
"240.000","141"
"241.000","134"
"242.000","152"
"243.000","134"
"244.000","134"
"245.000","136"
"246.000","125"
"247.000","132"
"248.000","131"
"249.000","132"
"250.000","138"
"251.000","137"
"252.000","147"
"253.000","184"
"254.000","158"
"255.000","133"
"256.000","139"
"257.000","132"
"258.000","129"
"259.000","129"
"260.000","129"
"261.000","167"
"262.000","123"
"263.000","137"
"264.000","126"
"265.000","195"
"266.000","130"
"267.000","130"
"268.000","147"
"269.000","140"
"270.000","131"
"271.000","129"
"272.000","134"
"273.000","136"
"274.000","133"
"275.000","142"
"276.000","130"
"277.000","149"
"278.000","133"
"279.000","132"
"280.000","132"
"281.000","134"
"282.000","150"
"283.000","134"
"284.000","185"
"285.000","133"
"286.000","132"
"287.000","125"
"288.000","147"
"289.000","131"
"290.000","132"
"291.000","134"
"292.000","129"
"293.000","125"
"294.000","139"
"295.000","137"
"296.000","148"
"297.000","166"
"298.000","145"
"299.000","135"
"300.000","180"
"301.000","140"
"302.000","137"
"303.000","136"
"304.000","135"
"305.000","142"
"306.000","134"
"307.000","133"
"308.000","136"
"309.000","140"
"310.000","134"
"311.000","152"
"312.000","131"
"313.000","134"
"314.000","134"
"315.000","177"
"316.000","130"
"317.000","137"
"318.000","130"
"319.000","129"
"320.000","129"
"321.000","133"
"322.000","141"
"323.000","130"
"324.000","135"
"325.000","152"
"326.000","134"
"327.000","54"
"328.000","54"
"329.000","3"
"330.000","3"
"331.000","2"
"332.000","2"
"333.000","2"
