"Interval start","Graph 1"
"0.000","202"
"1.000","750"
"2.000","67508"
"3.000","26581"
"4.000","75869"
"5.000","31587"
"6.000","14174"
"7.000","140228"
"8.000","139330"
"9.000","133444"
"10.000","149754"
"11.000","133584"
"12.000","138289"
"13.000","139948"
"14.000","141283"
"15.000","138981"
"16.000","140042"
"17.000","134217"
"18.000","139094"
"19.000","140061"
"20.000","141034"
"21.000","141187"
"22.000","165513"
"23.000","134954"
"24.000","141481"
"25.000","137692"
"26.000","140020"
"27.000","141889"
"28.000","138702"
"29.000","132966"
"30.000","140703"
"31.000","148232"
"32.000","139301"
"33.000","141106"
"34.000","141113"
"35.000","158387"
"36.000","140092"
"37.000","146998"
"38.000","157525"
"39.000","157116"
"40.000","150565"
"41.000","144208"
"42.000","155870"
"43.000","146765"
"44.000","153067"
"45.000","150110"
"46.000","150478"
"47.000","148319"
"48.000","146938"
"49.000","174916"
"50.000","154769"
"51.000","153666"
"52.000","145636"
"53.000","163173"
"54.000","166727"
"55.000","149025"
"56.000","147485"
"57.000","149232"
"58.000","150576"
"59.000","143646"
"60.000","146728"
"61.000","150624"
"62.000","150013"
"63.000","150090"
"64.000","149581"
"65.000","143502"
"66.000","145462"
"67.000","167196"
"68.000","142763"
"69.000","146322"
"70.000","148094"
"71.000","145691"
"72.000","152893"
"73.000","151978"
"74.000","151747"
"75.000","151368"
"76.000","153793"
"77.000","167356"
"78.000","150208"
"79.000","152795"
"80.000","156158"
"81.000","151923"
"82.000","153075"
"83.000","154016"
"84.000","147285"
"85.000","150390"
"86.000","150944"
"87.000","156372"
"88.000","151389"
"89.000","151363"
"90.000","144523"
"91.000","152443"
"92.000","153607"
"93.000","151182"
"94.000","153114"
"95.000","154835"
"96.000","147291"
"97.000","145385"
"98.000","163339"
"99.000","155487"
"100.000","146838"
"101.000","145948"
"102.000","146018"
"103.000","151003"
"104.000","150635"
"105.000","173206"
"106.000","148725"
"107.000","140865"
"108.000","150508"
"109.000","147286"
"110.000","144879"
"111.000","135450"
"112.000","172144"
"113.000","145380"
"114.000","150397"
"115.000","152771"
"116.000","148736"
"117.000","148320"
"118.000","150199"
"119.000","145994"
"120.000","143834"
"121.000","148565"
"122.000","142388"
"123.000","156825"
"124.000","149643"
"125.000","145975"
"126.000","236066"
"127.000","148687"
"128.000","151618"
"129.000","176953"
"130.000","151670"
"131.000","144557"
"132.000","131253"
"133.000","145077"
"134.000","150337"
"135.000","165884"
"136.000","143597"
"137.000","141607"
"138.000","140359"
"139.000","150850"
"140.000","136010"
"141.000","144741"
"142.000","150794"
"143.000","135709"
"144.000","144552"
"145.000","145906"
"146.000","149388"
"147.000","144347"
"148.000","135141"
"149.000","120910"
"150.000","132002"
"151.000","97687"
"152.000","104759"
"153.000","143767"
"154.000","120060"
"155.000","131411"
"156.000","124266"
"157.000","126336"
"158.000","112026"
"159.000","129480"
"160.000","117945"
"161.000","124313"
"162.000","119154"
"163.000","113664"
"164.000","113631"
"165.000","121933"
"166.000","87680"
"167.000","151384"
"168.000","121710"
"169.000","87589"
"170.000","80193"
"171.000","137597"
"172.000","120635"
"173.000","129171"
