"Interval start","Graph 1"
"0.000","1094"
"1.000","266"
"2.000","35466"
"3.000","47644"
"4.000","28833"
"5.000","62217"
"6.000","10786"
"7.000","122215"
"8.000","139828"
"9.000","141917"
"10.000","142213"
"11.000","138760"
"12.000","137167"
"13.000","141938"
"14.000","142105"
"15.000","141217"
"16.000","141681"
"17.000","140202"
"18.000","135302"
"19.000","141633"
"20.000","143342"
"21.000","142048"
"22.000","143181"
"23.000","140967"
"24.000","134346"
"25.000","137231"
"26.000","143635"
"27.000","135497"
"28.000","147613"
"29.000","139584"
"30.000","137531"
"31.000","141359"
"32.000","140871"
"33.000","140454"
"34.000","143670"
"35.000","142151"
"36.000","135219"
"37.000","148216"
"38.000","152762"
"39.000","152270"
"40.000","152509"
"41.000","152586"
"42.000","146265"
"43.000","152149"
"44.000","153528"
"45.000","151583"
"46.000","152533"
"47.000","151678"
"48.000","146071"
"49.000","151784"
"50.000","154112"
"51.000","155554"
"52.000","154545"
"53.000","157220"
"54.000","137283"
"55.000","159015"
"56.000","150125"
"57.000","150672"
"58.000","149172"
"59.000","148723"
"60.000","145218"
"61.000","150576"
"62.000","150524"
"63.000","149819"
"64.000","149206"
"65.000","149933"
"66.000","136145"
"67.000","141910"
"68.000","142249"
"69.000","146246"
"70.000","149979"
"71.000","153248"
"72.000","148406"
"73.000","152415"
"74.000","154125"
"75.000","152204"
"76.000","154051"
"77.000","151455"
"78.000","141820"
"79.000","154127"
"80.000","157310"
"81.000","153140"
"82.000","152855"
"83.000","147675"
"84.000","154948"
"85.000","152089"
"86.000","152479"
"87.000","148053"
"88.000","162905"
"89.000","152933"
"90.000","147075"
"91.000","153767"
"92.000","156310"
"93.000","151710"
"94.000","154672"
"95.000","155392"
"96.000","145703"
"97.000","138883"
"98.000","149575"
"99.000","130349"
"100.000","149754"
"101.000","151057"
"102.000","143498"
"103.000","149301"
"104.000","151622"
"105.000","149936"
"106.000","150224"
"107.000","149134"
"108.000","144920"
"109.000","150003"
"110.000","150557"
"111.000","151610"
"112.000","151749"
