"Interval start","Graph 1"
"0.000","8"
"1.000","2"
"2.000","76"
"3.000","104"
"4.000","75"
"5.000","111"
"6.000","73"
"7.000","127"
"8.000","152"
"9.000","172"
"10.000","172"
"11.000","168"
"12.000","172"
"13.000","171"
"14.000","175"
"15.000","172"
"16.000","168"
"17.000","175"
"18.000","164"
"19.000","169"
"20.000","173"
"21.000","169"
"22.000","168"
"23.000","168"
"24.000","163"
"25.000","171"
"26.000","178"
"27.000","169"
"28.000","176"
"29.000","164"
"30.000","168"
"31.000","173"
"32.000","172"
"33.000","170"
"34.000","174"
"35.000","172"
"36.000","167"
"37.000","168"
"38.000","170"
"39.000","166"
"40.000","167"
"41.000","167"
"42.000","165"
"43.000","165"
"44.000","163"
"45.000","162"
"46.000","165"
"47.000","163"
"48.000","158"
"49.000","168"
"50.000","167"
"51.000","164"
"52.000","167"
"53.000","169"
"54.000","151"
"55.000","180"
"56.000","167"
"57.000","173"
"58.000","158"
"59.000","165"
"60.000","166"
"61.000","167"
"62.000","162"
"63.000","165"
"64.000","165"
"65.000","165"
"66.000","159"
"67.000","168"
"68.000","169"
"69.000","174"
"70.000","169"
"71.000","163"
"72.000","159"
"73.000","162"
"74.000","165"
"75.000","165"
"76.000","169"
"77.000","162"
"78.000","159"
"79.000","172"
"80.000","166"
"81.000","170"
"82.000","167"
"83.000","158"
"84.000","164"
"85.000","162"
"86.000","166"
"87.000","161"
"88.000","170"
"89.000","166"
"90.000","162"
"91.000","162"
"92.000","172"
"93.000","164"
"94.000","169"
"95.000","165"
"96.000","152"
"97.000","159"
"98.000","171"
"99.000","174"
"100.000","181"
"101.000","166"
"102.000","162"
"103.000","164"
"104.000","165"
"105.000","166"
"106.000","161"
"107.000","161"
"108.000","161"
"109.000","166"
"110.000","170"
"111.000","167"
"112.000","165"
"113.000","162"
"114.000","160"
"115.000","166"
"116.000","167"
"117.000","169"
"118.000","171"
"119.000","166"
"120.000","164"
"121.000","167"
"122.000","170"
"123.000","163"
"124.000","168"
"125.000","161"
"126.000","161"
"127.000","165"
"128.000","169"
"129.000","168"
"130.000","165"
"131.000","169"
"132.000","159"
"133.000","176"
"134.000","169"
"135.000","162"
"136.000","166"
"137.000","165"
"138.000","162"
"139.000","170"
"140.000","166"
"141.000","166"
"142.000","172"
"143.000","165"
"144.000","158"
"145.000","167"
"146.000","170"
"147.000","165"
"148.000","166"
"149.000","191"
"150.000","177"
"151.000","169"
"152.000","196"
"153.000","185"
"154.000","170"
"155.000","171"
"156.000","170"
"157.000","173"
"158.000","176"
"159.000","186"
"160.000","175"
"161.000","184"
"162.000","176"
"163.000","174"
"164.000","178"
"165.000","185"
"166.000","175"
"167.000","203"
"168.000","170"
"169.000","178"
"170.000","197"
"171.000","185"
"172.000","171"
"173.000","181"
"174.000","163"
"175.000","170"
"176.000","175"
"177.000","203"
"178.000","189"
"179.000","182"
"180.000","184"
"181.000","213"
"182.000","198"
"183.000","175"
"184.000","180"
"185.000","210"
"186.000","174"
"187.000","170"
"188.000","177"
"189.000","170"
"190.000","169"
"191.000","171"
"192.000","161"
"193.000","162"
"194.000","170"
"195.000","170"
"196.000","167"
"197.000","159"
"198.000","157"
"199.000","172"
"200.000","167"
"201.000","172"
"202.000","179"
"203.000","166"
"204.000","170"
"205.000","169"
"206.000","166"
"207.000","169"
"208.000","168"
"209.000","173"
"210.000","155"
"211.000","181"
"212.000","176"
"213.000","186"
"214.000","193"
"215.000","178"
"216.000","162"
"217.000","178"
"218.000","197"
"219.000","174"
"220.000","163"
"221.000","197"
"222.000","183"
"223.000","171"
"224.000","173"
"225.000","177"
"226.000","177"
"227.000","171"
"228.000","156"
"229.000","170"
"230.000","165"
"231.000","175"
"232.000","168"
"233.000","171"
"234.000","163"
"235.000","169"
"236.000","174"
"237.000","160"
"238.000","170"
"239.000","166"
"240.000","164"
"241.000","170"
"242.000","170"
"243.000","161"
"244.000","162"
"245.000","170"
"246.000","160"
"247.000","166"
"248.000","167"
"249.000","172"
"250.000","165"
"251.000","168"
"252.000","166"
"253.000","165"
"254.000","166"
"255.000","167"
"256.000","154"
"257.000","173"
"258.000","161"
"259.000","171"
"260.000","163"
"261.000","167"
"262.000","165"
"263.000","165"
"264.000","165"
"265.000","170"
"266.000","168"
"267.000","166"
"268.000","166"
"269.000","157"
"270.000","170"
"271.000","170"
"272.000","169"
"273.000","164"
"274.000","167"
"275.000","167"
"276.000","158"
"277.000","164"
"278.000","163"
"279.000","169"
"280.000","167"
"281.000","169"
"282.000","162"
"283.000","167"
"284.000","167"
"285.000","164"
"286.000","162"
"287.000","165"
"288.000","161"
"289.000","166"
"290.000","168"
"291.000","170"
"292.000","169"
"293.000","163"
"294.000","171"
"295.000","177"
"296.000","172"
"297.000","166"
"298.000","169"
"299.000","161"
"300.000","161"
"301.000","173"
"302.000","169"
"303.000","158"
"304.000","162"
"305.000","168"
"306.000","158"
"307.000","161"
"308.000","168"
"309.000","163"
"310.000","166"
"311.000","170"
"312.000","165"
"313.000","164"
"314.000","164"
"315.000","170"
"316.000","156"
"317.000","172"
"318.000","162"
"319.000","170"
"320.000","165"
"321.000","170"
"322.000","171"
"323.000","167"
"324.000","155"
"325.000","166"
"326.000","170"
"327.000","107"
"328.000","16"
"329.000","2"
"330.000","3"
"331.000","4"
"332.000","3"
"333.000","0"
"334.000","1"
"335.000","2"
"336.000","1"
"337.000","0"
"338.000","1"
