"Interval start","Graph 1"
"0.000","440"
"1.000","47915"
"2.000","39035"
"3.000","58573"
"4.000","26534"
"5.000","3127"
"6.000","440"
"7.000","388"
"8.000","864"
"9.000","61930"
"10.000","139019"
"11.000","142459"
"12.000","138611"
"13.000","141015"
"14.000","143818"
"15.000","143295"
"16.000","142544"
"17.000","144368"
"18.000","141626"
"19.000","138192"
"20.000","142648"
"21.000","145330"
"22.000","143603"
"23.000","143576"
"24.000","145609"
"25.000","138800"
"26.000","143097"
"27.000","142867"
"28.000","143795"
"29.000","142375"
"30.000","142216"
"31.000","135820"
"32.000","144515"
"33.000","142904"
"34.000","142470"
"35.000","143763"
"36.000","140981"
"37.000","140764"
"38.000","143968"
"39.000","145668"
"40.000","154365"
"41.000","154713"
"42.000","157797"
"43.000","145557"
"44.000","154165"
"45.000","154568"
"46.000","155114"
"47.000","153276"
"48.000","152692"
"49.000","149957"
"50.000","154006"
"51.000","153177"
"52.000","155195"
"53.000","156960"
"54.000","153202"
"55.000","153125"
"56.000","157908"
"57.000","152427"
"58.000","152164"
"59.000","151173"
"60.000","153488"
"61.000","144750"
"62.000","151895"
"63.000","152159"
"64.000","151557"
"65.000","152006"
"66.000","148250"
"67.000","149629"
"68.000","146838"
"69.000","144077"
"70.000","144869"
"71.000","145004"
"72.000","149954"
"73.000","146097"
"74.000","157161"
"75.000","155107"
"76.000","154192"
"77.000","155738"
"78.000","154163"
"79.000","149444"
"80.000","146015"
"81.000","162303"
"82.000","157839"
"83.000","155047"
"84.000","155895"
"85.000","147686"
"86.000","155455"
"87.000","157841"
"88.000","154553"
"89.000","155332"
"90.000","158612"
"91.000","147629"
"92.000","155518"
"93.000","153879"
"94.000","157107"
"95.000","158001"
"96.000","150932"
"97.000","151598"
"98.000","158355"
"99.000","148594"
"100.000","152938"
"101.000","134015"
"102.000","140628"
"103.000","147984"
"104.000","151871"
"105.000","151505"
"106.000","153088"
"107.000","152488"
"108.000","149799"
"109.000","148015"
"110.000","151974"
"111.000","152326"
"112.000","151665"
"113.000","152802"
"114.000","151755"
"115.000","146810"
"116.000","156409"
"117.000","154406"
"118.000","153903"
"119.000","152009"
"120.000","151581"
"121.000","146324"
"122.000","151826"
"123.000","152546"
"124.000","151189"
"125.000","151689"
"126.000","149640"
"127.000","149589"
"128.000","151554"
"129.000","150891"
"130.000","155746"
"131.000","154343"
"132.000","154617"
"133.000","147134"
"134.000","147832"
"135.000","138900"
"136.000","150331"
"137.000","153131"
"138.000","143517"
"139.000","142561"
"140.000","149778"
"141.000","150594"
"142.000","144769"
"143.000","141804"
"144.000","148405"
"145.000","146124"
"146.000","145489"
"147.000","150357"
"148.000","151351"
"149.000","147561"
"150.000","144231"
"151.000","95432"
"152.000","143857"
"153.000","130321"
"154.000","91735"
"155.000","130952"
"156.000","132535"
"157.000","121099"
"158.000","140549"
"159.000","129720"
"160.000","124301"
"161.000","123142"
"162.000","120868"
"163.000","103364"
"164.000","129765"
"165.000","118537"
"166.000","123244"
"167.000","120893"
"168.000","112202"
"169.000","92750"
"170.000","135661"
"171.000","114999"
"172.000","88079"
"173.000","98789"
"174.000","136831"
"175.000","111870"
"176.000","152897"
"177.000","140794"
"178.000","114067"
"179.000","89312"
"180.000","108588"
"181.000","128354"
"182.000","97743"
"183.000","83059"
"184.000","116010"
"185.000","140868"
"186.000","104715"
"187.000","84778"
"188.000","115404"
"189.000","140309"
"190.000","142147"
"191.000","149442"
"192.000","133825"
"193.000","141019"
"194.000","148853"
"195.000","146530"
"196.000","139109"
"197.000","145526"
"198.000","150356"
"199.000","147421"
"200.000","144189"
"201.000","150336"
"202.000","148025"
"203.000","139632"
"204.000","141666"
"205.000","137967"
"206.000","139670"
"207.000","147825"
"208.000","142989"
"209.000","143462"
"210.000","147448"
"211.000","147330"
"212.000","144003"
"213.000","117069"
"214.000","140820"
"215.000","103396"
"216.000","118393"
"217.000","130223"
"218.000","142902"
"219.000","101488"
"220.000","112694"
"221.000","137837"
"222.000","132628"
"223.000","94326"
"224.000","125434"
"225.000","143232"
"226.000","132053"
"227.000","128923"
"228.000","141802"
"229.000","138549"
"230.000","139786"
"231.000","149638"
"232.000","150922"
"233.000","142804"
"234.000","124193"
"235.000","130688"
"236.000","146322"
"237.000","143168"
"238.000","145818"
"239.000","152383"
"240.000","149269"
"241.000","143197"
"242.000","142822"
"243.000","152497"
"244.000","142591"
"245.000","164083"
"246.000","158391"
"247.000","149351"
"248.000","153280"
"249.000","154937"
"250.000","148587"
"251.000","154001"
"252.000","151559"
"253.000","150394"
"254.000","157742"
"255.000","157513"
"256.000","155114"
"257.000","156131"
"258.000","146311"
"259.000","151284"
"260.000","154739"
"261.000","153766"
"262.000","159485"
"263.000","157584"
"264.000","155611"
"265.000","140724"
"266.000","143482"
"267.000","155580"
"268.000","154183"
"269.000","151937"
"270.000","157595"
"271.000","151455"
"272.000","154855"
"273.000","152575"
"274.000","152523"
"275.000","156870"
"276.000","154573"
"277.000","147182"
"278.000","159467"
"279.000","157616"
"280.000","157121"
"281.000","155119"
"282.000","154020"
"283.000","149858"
"284.000","154794"
"285.000","157364"
"286.000","157405"
"287.000","154308"
"288.000","156498"
"289.000","145623"
"290.000","154132"
"291.000","153998"
"292.000","156448"
"293.000","156411"
"294.000","151625"
"295.000","135951"
"296.000","129014"
"297.000","135023"
"298.000","151493"
"299.000","155387"
"300.000","154127"
"301.000","150816"
"302.000","156093"
"303.000","155558"
"304.000","154646"
"305.000","152769"
"306.000","154077"
"307.000","150512"
"308.000","153281"
"309.000","157345"
"310.000","158214"
"311.000","156846"
"312.000","152684"
"313.000","150992"
"314.000","155598"
"315.000","154354"
"316.000","153177"
"317.000","159955"
"318.000","153707"
"319.000","151337"
"320.000","153983"
"321.000","153044"
"322.000","155458"
"323.000","26539"
"324.000","2991"
"325.000","364"
"326.000","902"
"327.000","388"
"328.000","334"
"329.000","132"
