"Interval start","Graph 1"
"0.000","6"
"1.000","1"
"2.000","102"
"3.000","93"
"4.000","156"
"5.000","8"
"6.000","10"
"7.000","37"
"8.000","129"
"9.000","127"
"10.000","124"
"11.000","126"
"12.000","133"
"13.000","227"
"14.000","221"
"15.000","216"
"16.000","213"
"17.000","225"
"18.000","215"
"19.000","206"
"20.000","222"
"21.000","214"
"22.000","233"
"23.000","231"
"24.000","240"
"25.000","216"
"26.000","206"
"27.000","227"
"28.000","224"
"29.000","232"
"30.000","234"
"31.000","208"
"32.000","227"
"33.000","231"
"34.000","210"
"35.000","230"
"36.000","233"
"37.000","230"
"38.000","219"
"39.000","222"
"40.000","231"
"41.000","232"
"42.000","240"
"43.000","227"
"44.000","236"
"45.000","231"
"46.000","231"
"47.000","231"
"48.000","235"
"49.000","232"
"50.000","235"
"51.000","228"
"52.000","231"
"53.000","234"
"54.000","230"
"55.000","232"
"56.000","237"
"57.000","232"
"58.000","225"
"59.000","225"
"60.000","238"
"61.000","227"
"62.000","237"
"63.000","223"
"64.000","220"
"65.000","232"
"66.000","239"
"67.000","236"
"68.000","216"
"69.000","229"
"70.000","218"
"71.000","218"
"72.000","239"
"73.000","235"
"74.000","234"
"75.000","226"
"76.000","231"
"77.000","232"
"78.000","230"
"79.000","229"
"80.000","232"
"81.000","231"
"82.000","236"
"83.000","234"
"84.000","228"
"85.000","230"
"86.000","232"
"87.000","237"
"88.000","224"
"89.000","230"
"90.000","236"
"91.000","229"
"92.000","238"
"93.000","236"
"94.000","218"
"95.000","229"
"96.000","231"
"97.000","230"
"98.000","232"
"99.000","219"
"100.000","235"
"101.000","134"
"102.000","218"
"103.000","233"
"104.000","220"
"105.000","232"
"106.000","220"
"107.000","223"
"108.000","228"
"109.000","232"
"110.000","236"
"111.000","233"
"112.000","229"
"113.000","235"
"114.000","230"
"115.000","231"
"116.000","231"
"117.000","232"
"118.000","222"
"119.000","235"
"120.000","234"
"121.000","224"
"122.000","240"
"123.000","235"
"124.000","234"
"125.000","229"
"126.000","244"
"127.000","210"
"128.000","232"
"129.000","225"
"130.000","228"
"131.000","231"
"132.000","231"
"133.000","239"
"134.000","172"
"135.000","223"
"136.000","226"
"137.000","240"
"138.000","224"
"139.000","231"
"140.000","230"
"141.000","231"
"142.000","203"
"143.000","233"
"144.000","232"
"145.000","241"
"146.000","210"
"147.000","222"
"148.000","228"
"149.000","229"
"150.000","193"
"151.000","127"
"152.000","130"
"153.000","131"
"154.000","125"
"155.000","126"
"156.000","129"
"157.000","130"
"158.000","128"
"159.000","127"
"160.000","125"
"161.000","127"
"162.000","130"
"163.000","131"
"164.000","130"
"165.000","127"
"166.000","123"
"167.000","130"
"168.000","128"
"169.000","127"
"170.000","131"
"171.000","128"
"172.000","126"
"173.000","129"
"174.000","131"
"175.000","127"
"176.000","130"
"177.000","131"
"178.000","122"
"179.000","127"
"180.000","129"
"181.000","128"
"182.000","130"
"183.000","130"
"184.000","125"
"185.000","127"
"186.000","136"
"187.000","130"
"188.000","129"
"189.000","127"
"190.000","124"
"191.000","147"
"192.000","190"
"193.000","237"
"194.000","229"
"195.000","176"
"196.000","208"
"197.000","232"
"198.000","234"
"199.000","233"
"200.000","223"
"201.000","216"
"202.000","237"
"203.000","172"
"204.000","219"
"205.000","192"
"206.000","195"
"207.000","209"
"208.000","220"
"209.000","208"
"210.000","233"
"211.000","220"
"212.000","202"
"213.000","131"
"214.000","127"
"215.000","128"
"216.000","130"
"217.000","130"
"218.000","128"
"219.000","127"
"220.000","125"
"221.000","126"
"222.000","130"
"223.000","131"
"224.000","130"
"225.000","127"
"226.000","123"
"227.000","130"
"228.000","128"
"229.000","146"
"230.000","194"
"231.000","212"
"232.000","215"
"233.000","238"
"234.000","133"
"235.000","129"
"236.000","198"
"237.000","213"
"238.000","212"
"239.000","226"
"240.000","233"
"241.000","235"
"242.000","219"
"243.000","235"
"244.000","229"
"245.000","232"
"246.000","237"
"247.000","234"
"248.000","232"
"249.000","238"
"250.000","218"
"251.000","230"
"252.000","231"
"253.000","236"
"254.000","234"
"255.000","232"
"256.000","219"
"257.000","238"
"258.000","231"
"259.000","234"
"260.000","233"
"261.000","224"
"262.000","227"
"263.000","233"
"264.000","242"
"265.000","202"
"266.000","212"
"267.000","233"
"268.000","229"
"269.000","231"
"270.000","231"
"271.000","232"
"272.000","235"
"273.000","238"
"274.000","230"
"275.000","232"
"276.000","238"
"277.000","232"
"278.000","231"
"279.000","231"
"280.000","232"
"281.000","229"
"282.000","232"
"283.000","235"
"284.000","234"
"285.000","229"
"286.000","222"
"287.000","235"
"288.000","235"
"289.000","233"
"290.000","233"
"291.000","223"
"292.000","228"
"293.000","233"
"294.000","238"
"295.000","133"
"296.000","128"
"297.000","151"
"298.000","219"
"299.000","232"
"300.000","226"
"301.000","229"
"302.000","227"
"303.000","239"
"304.000","234"
"305.000","231"
"306.000","242"
"307.000","233"
"308.000","229"
"309.000","231"
"310.000","229"
"311.000","231"
"312.000","225"
"313.000","234"
"314.000","232"
"315.000","233"
"316.000","226"
"317.000","233"
"318.000","231"
"319.000","230"
"320.000","234"
"321.000","229"
"322.000","230"
"323.000","238"
"324.000","234"
"325.000","234"
"326.000","223"
"327.000","239"
"328.000","197"
"329.000","26"
"330.000","3"
"331.000","1"
"332.000","1"
"333.000","5"
"334.000","3"
