"Interval start","Graph 1"
"0.000","64368"
"1.000","31594"
"2.000","66709"
"3.000","20069"
"4.000","5632"
"5.000","108009"
"6.000","74838"
"7.000","71413"
"8.000","56960"
"9.000","76989"
"10.000","72978"
"11.000","57078"
"12.000","72507"
"13.000","67513"
"14.000","62837"
"15.000","64873"
"16.000","50852"
"17.000","59917"
"18.000","74473"
"19.000","69216"
"20.000","67814"
"21.000","76900"
"22.000","76898"
"23.000","89208"
"24.000","57334"
"25.000","73192"
"26.000","77692"
"27.000","63675"
"28.000","69306"
"29.000","75192"
"30.000","59808"
"31.000","69337"
"32.000","69470"
"33.000","67628"
"34.000","73482"
"35.000","75452"
"36.000","58932"
"37.000","64158"
"38.000","73185"
"39.000","65980"
"40.000","72474"
"41.000","71118"
"42.000","81440"
"43.000","83616"
"44.000","86324"
"45.000","65934"
"46.000","77437"
"47.000","62670"
"48.000","74899"
"49.000","71480"
"50.000","75018"
"51.000","62016"
"52.000","71186"
"53.000","76512"
"54.000","69497"
"55.000","69027"
"56.000","70824"
"57.000","71534"
"58.000","73834"
"59.000","63473"
"60.000","74627"
"61.000","63838"
"62.000","72762"
"63.000","69929"
"64.000","67993"
"65.000","69224"
"66.000","71142"
"67.000","80884"
"68.000","85538"
"69.000","65579"
"70.000","72170"
"71.000","65648"
"72.000","61713"
"73.000","66594"
"74.000","72041"
"75.000","71022"
"76.000","69014"
"77.000","73484"
"78.000","78168"
"79.000","85916"
"80.000","62438"
"81.000","73589"
"82.000","79374"
"83.000","59889"
"84.000","75976"
"85.000","58146"
"86.000","75232"
"87.000","71011"
"88.000","67849"
"89.000","67579"
"90.000","69091"
"91.000","56404"
"92.000","76178"
"93.000","74153"
"94.000","70434"
"95.000","56349"
"96.000","78315"
"97.000","74178"
"98.000","67062"
"99.000","67352"
"100.000","72588"
"101.000","78366"
"102.000","65342"
"103.000","65111"
"104.000","61537"
"105.000","71654"
"106.000","68874"
"107.000","70522"
"108.000","70454"
"109.000","76578"
"110.000","81316"
"111.000","66456"
"112.000","69725"
"113.000","71122"
"114.000","69957"
"115.000","73008"
"116.000","71533"
"117.000","68122"
"118.000","70426"
"119.000","70724"
"120.000","76520"
"121.000","67886"
"122.000","70029"
"123.000","75962"
"124.000","76520"
"125.000","54438"
"126.000","72319"
"127.000","71737"
"128.000","58355"
"129.000","75437"
"130.000","65080"
"131.000","66062"
"132.000","66472"
"133.000","63414"
"134.000","66475"
"135.000","66236"
"136.000","67360"
"137.000","76578"
"138.000","79620"
"139.000","81390"
"140.000","62762"
"141.000","71312"
"142.000","79443"
"143.000","63871"
"144.000","79763"
"145.000","58543"
"146.000","75989"
"147.000","71041"
"148.000","56924"
"149.000","73288"
"150.000","69845"
"151.000","66874"
"152.000","69106"
"153.000","64716"
"154.000","71066"
"155.000","72980"
"156.000","62521"
"157.000","72060"
"158.000","67112"
"159.000","65074"
"160.000","61306"
"161.000","76120"
"162.000","68094"
"163.000","72036"
"164.000","76982"
"165.000","86700"
"166.000","60176"
"167.000","74767"
"168.000","69643"
"169.000","69398"
"170.000","74458"
"171.000","56314"
"172.000","78158"
"173.000","68942"
"174.000","67360"
"175.000","69330"
"176.000","76202"
"177.000","80234"
"178.000","62710"
"179.000","68217"
"180.000","76499"
"181.000","62324"
"182.000","70053"
"183.000","73737"
"184.000","57400"
"185.000","79447"
"186.000","70653"
"187.000","69620"
