"Interval start","Graph 1"
"0.000","10"
"1.000","31"
"2.000","80"
"3.000","111"
"4.000","142"
"5.000","730"
"6.000","1416"
"7.000","921"
"8.000","853"
"9.000","1076"
"10.000","961"
"11.000","844"
"12.000","925"
"13.000","876"
"14.000","872"
"15.000","917"
"16.000","854"
"17.000","224"
"18.000","31"
"19.000","32"
"20.000","26"
"21.000","26"
"22.000","36"
"23.000","38"
"24.000","12"
"25.000","58"
"26.000","55"
"27.000","64"
"28.000","6"
"29.000","60"
"30.000","70"
"31.000","38"
"32.000","26"
"33.000","36"
"34.000","34"
"35.000","33"
"36.000","27"
"37.000","63"
"38.000","10"
"39.000","35"
"40.000","39"
"41.000","35"
"42.000","40"
"43.000","64"
"44.000","245"
"45.000","15"
"46.000","30"
"47.000","41"
"48.000","35"
"49.000","29"
"50.000","33"
"51.000","61"
"52.000","5"
"53.000","35"
"54.000","35"
"55.000","29"
"56.000","34"
"57.000","85"
"58.000","36"
"59.000","76"
"60.000","35"
"61.000","32"
"62.000","26"
"63.000","17"
"64.000","53"
"65.000","16"
"66.000","46"
"67.000","39"
"68.000","111"
"69.000","19"
"70.000","45"
"71.000","61"
"72.000","22"
"73.000","62"
"74.000","36"
"75.000","58"
"76.000","7"
"77.000","36"
"78.000","40"
"79.000","31"
"80.000","29"
"81.000","31"
"82.000","32"
"83.000","31"
"84.000","81"
"85.000","21"
"86.000","32"
"87.000","79"
"88.000","55"
"89.000","29"
"90.000","57"
"91.000","52"
"92.000","38"
"93.000","11"
"94.000","53"
"95.000","32"
"96.000","2"
"97.000","34"
"98.000","27"
"99.000","27"
"100.000","122"
"101.000","36"
"102.000","46"
"103.000","37"
"104.000","36"
"105.000","32"
"106.000","28"
"107.000","38"
"108.000","73"
"109.000","32"
"110.000","31"
"111.000","32"
"112.000","28"
"113.000","38"
"114.000","33"
"115.000","31"
"116.000","51"
"117.000","43"
"118.000","39"
"119.000","76"
"120.000","31"
"121.000","33"
"122.000","32"
"123.000","37"
"124.000","29"
"125.000","31"
"126.000","28"
"127.000","35"
"128.000","75"
"129.000","30"
"130.000","53"
"131.000","34"
"132.000","37"
"133.000","34"
"134.000","30"
"135.000","32"
"136.000","29"
"137.000","60"
"138.000","34"
"139.000","34"
"140.000","27"
"141.000","29"
"142.000","29"
"143.000","49"
"144.000","44"
"145.000","49"
"146.000","34"
"147.000","32"
"148.000","32"
"149.000","73"
"150.000","76"
"151.000","29"
"152.000","29"
"153.000","33"
"154.000","29"
"155.000","30"
"156.000","27"
"157.000","39"
"158.000","37"
"159.000","58"
"160.000","38"
"161.000","35"
"162.000","34"
"163.000","37"
"164.000","39"
"165.000","32"
"166.000","31"
"167.000","34"
"168.000","36"
"169.000","28"
"170.000","30"
"171.000","34"
"172.000","25"
"173.000","56"
"174.000","32"
"175.000","32"
"176.000","29"
"177.000","38"
"178.000","35"
"179.000","35"
"180.000","34"
"181.000","73"
"182.000","59"
"183.000","42"
"184.000","28"
"185.000","33"
"186.000","43"
"187.000","53"
"188.000","48"
"189.000","34"
"190.000","30"
"191.000","81"
"192.000","35"
"193.000","39"
"194.000","30"
"195.000","39"
"196.000","37"
"197.000","35"
"198.000","37"
"199.000","33"
"200.000","34"
"201.000","38"
"202.000","54"
"203.000","39"
"204.000","31"
"205.000","33"
"206.000","29"
"207.000","32"
"208.000","32"
"209.000","24"
"210.000","12"
"211.000","81"
"212.000","29"
"213.000","97"
"214.000","40"
"215.000","39"
"216.000","39"
"217.000","56"
"218.000","37"
"219.000","33"
"220.000","33"
"221.000","37"
"222.000","30"
"223.000","34"
"224.000","36"
"225.000","28"
"226.000","31"
"227.000","31"
"228.000","29"
"229.000","31"
"230.000","30"
"231.000","48"
"232.000","32"
"233.000","33"
"234.000","81"
"235.000","34"
"236.000","85"
"237.000","34"
"238.000","37"
"239.000","35"
"240.000","34"
"241.000","33"
"242.000","67"
"243.000","40"
"244.000","29"
"245.000","52"
"246.000","36"
"247.000","31"
"248.000","29"
"249.000","30"
"250.000","34"
"251.000","28"
"252.000","31"
"253.000","31"
"254.000","32"
"255.000","31"
"256.000","30"
"257.000","31"
"258.000","42"
"259.000","47"
"260.000","51"
"261.000","31"
"262.000","32"
"263.000","40"
"264.000","74"
"265.000","35"
"266.000","33"
"267.000","35"
"268.000","35"
"269.000","31"
"270.000","33"
"271.000","30"
"272.000","31"
"273.000","84"
"274.000","54"
"275.000","37"
"276.000","29"
"277.000","39"
"278.000","79"
"279.000","37"
"280.000","35"
"281.000","37"
"282.000","36"
"283.000","37"
"284.000","39"
"285.000","53"
"286.000","34"
"287.000","40"
"288.000","64"
"289.000","41"
"290.000","32"
"291.000","32"
"292.000","32"
"293.000","34"
"294.000","33"
"295.000","29"
"296.000","38"
"297.000","31"
"298.000","8"
"299.000","32"
"300.000","32"
"301.000","30"
"302.000","34"
"303.000","55"
"304.000","76"
"305.000","30"
"306.000","29"
"307.000","31"
"308.000","31"
"309.000","73"
"310.000","29"
"311.000","29"
"312.000","35"
"313.000","27"
"314.000","31"
"315.000","36"
"316.000","30"
"317.000","48"
"318.000","34"
"319.000","41"
"320.000","31"
"321.000","27"
"322.000","28"
"323.000","80"
"324.000","31"
"325.000","31"
"326.000","28"
"327.000","28"
"328.000","4"
"329.000","7"
"330.000","3"
"331.000","29"
