"Interval start","Graph 1"
"0.000","45"
"1.000","108"
"2.000","96"
"3.000","116"
"4.000","177"
"5.000","149"
"6.000","125"
"7.000","125"
"8.000","132"
"9.000","138"
"10.000","118"
"11.000","130"
"12.000","140"
"13.000","108"
"14.000","125"
"15.000","120"
"16.000","129"
"17.000","131"
"18.000","112"
"19.000","162"
"20.000","160"
"21.000","150"
"22.000","132"
"23.000","136"
"24.000","135"
"25.000","122"
"26.000","130"
"27.000","113"
"28.000","132"
"29.000","112"
"30.000","141"
"31.000","149"
"32.000","141"
"33.000","120"
"34.000","123"
"35.000","121"
"36.000","127"
"37.000","130"
"38.000","123"
"39.000","133"
"40.000","138"
"41.000","140"
"42.000","118"
"43.000","125"
"44.000","119"
"45.000","124"
"46.000","135"
"47.000","119"
"48.000","146"
"49.000","128"
"50.000","142"
"51.000","136"
"52.000","126"
"53.000","120"
"54.000","133"
"55.000","126"
"56.000","132"
"57.000","120"
"58.000","118"
"59.000","133"
"60.000","122"
"61.000","144"
"62.000","119"
"63.000","128"
"64.000","127"
"65.000","121"
"66.000","126"
"67.000","124"
"68.000","127"
"69.000","130"
"70.000","118"
"71.000","146"
"72.000","149"
"73.000","118"
"74.000","118"
"75.000","123"
"76.000","122"
"77.000","133"
"78.000","126"
"79.000","146"
"80.000","134"
"81.000","118"
"82.000","118"
"83.000","123"
"84.000","123"
"85.000","125"
"86.000","143"
"87.000","143"
"88.000","136"
"89.000","124"
"90.000","138"
"91.000","132"
"92.000","135"
"93.000","117"
"94.000","121"
"95.000","118"
"96.000","128"
"97.000","132"
"98.000","116"
"99.000","139"
"100.000","142"
"101.000","131"
"102.000","127"
"103.000","124"
"104.000","124"
"105.000","125"
"106.000","128"
"107.000","124"
"108.000","165"
"109.000","121"
"110.000","130"
"111.000","133"
"112.000","141"
"113.000","120"
"114.000","136"
"115.000","121"
"116.000","124"
"117.000","125"
"118.000","127"
"119.000","129"
"120.000","126"
"121.000","132"
"122.000","139"
"123.000","116"
"124.000","145"
"125.000","115"
"126.000","134"
"127.000","116"
"128.000","134"
"129.000","112"
"130.000","148"
"131.000","134"
"132.000","128"
"133.000","121"
"134.000","122"
"135.000","122"
"136.000","129"
"137.000","135"
"138.000","117"
"139.000","135"
"140.000","155"
"141.000","131"
"142.000","147"
"143.000","132"
"144.000","132"
"145.000","122"
"146.000","121"
"147.000","126"
"148.000","129"
"149.000","131"
"150.000","117"
"151.000","146"
"152.000","124"
"153.000","136"
"154.000","124"
"155.000","121"
"156.000","122"
"157.000","129"
"158.000","130"
"159.000","127"
"160.000","91"
"161.000","50"
"162.000","41"
"163.000","26"
"164.000","29"
"165.000","27"
"166.000","28"
"167.000","31"
"168.000","29"
"169.000","26"
"170.000","28"
"171.000","32"
"172.000","27"
"173.000","30"
"174.000","28"
"175.000","26"
"176.000","27"
"177.000","31"
"178.000","29"
"179.000","26"
"180.000","28"
"181.000","28"
"182.000","27"
"183.000","26"
"184.000","38"
"185.000","26"
"186.000","28"
"187.000","32"
"188.000","30"
"189.000","26"
"190.000","28"
"191.000","28"
"192.000","27"
"193.000","26"
"194.000","28"
"195.000","26"
"196.000","27"
"197.000","31"
"198.000","29"
"199.000","26"
"200.000","28"
"201.000","28"
"202.000","27"
"203.000","12"
"204.000","55"
"205.000","26"
"206.000","27"
"207.000","31"
"208.000","30"
"209.000","27"
"210.000","29"
"211.000","28"
"212.000","27"
"213.000","26"
"214.000","28"
"215.000","26"
"216.000","27"
"217.000","31"
"218.000","29"
"219.000","26"
"220.000","28"
"221.000","28"
"222.000","27"
"223.000","26"
"224.000","28"
"225.000","26"
"226.000","27"
"227.000","31"
"228.000","29"
"229.000","28"
"230.000","30"
"231.000","29"
"232.000","28"
"233.000","28"
"234.000","28"
"235.000","26"
"236.000","27"
"237.000","31"
"238.000","30"
"239.000","27"
"240.000","28"
"241.000","28"
"242.000","27"
"243.000","26"
"244.000","28"
"245.000","26"
"246.000","27"
"247.000","31"
"248.000","29"
"249.000","26"
"250.000","28"
"251.000","28"
"252.000","28"
"253.000","27"
"254.000","29"
"255.000","26"
"256.000","27"
"257.000","31"
"258.000","29"
"259.000","26"
"260.000","28"
"261.000","28"
"262.000","27"
"263.000","26"
"264.000","36"
"265.000","54"
"266.000","137"
"267.000","36"
"268.000","41"
"269.000","26"
"270.000","28"
"271.000","28"
"272.000","27"
"273.000","26"
"274.000","29"
"275.000","27"
"276.000","28"
"277.000","31"
"278.000","29"
"279.000","26"
"280.000","28"
"281.000","28"
"282.000","27"
"283.000","26"
"284.000","28"
"285.000","26"
"286.000","33"
"287.000","33"
"288.000","29"
"289.000","26"
"290.000","28"
"291.000","28"
"292.000","27"
"293.000","26"
"294.000","28"
"295.000","26"
"296.000","28"
"297.000","32"
"298.000","30"
"299.000","26"
"300.000","29"
"301.000","28"
"302.000","27"
"303.000","26"
"304.000","28"
"305.000","26"
"306.000","27"
"307.000","31"
"308.000","29"
"309.000","26"
"310.000","28"
"311.000","28"
"312.000","27"
"313.000","26"
"314.000","28"
"315.000","26"
"316.000","27"
"317.000","31"
"318.000","30"
"319.000","27"
"320.000","29"
"321.000","13"
"322.000","42"
"323.000","26"
"324.000","36"
"325.000","19"
"326.000","39"
"327.000","5"
"328.000","8"
"329.000","0"
"330.000","2"
"331.000","2"
"332.000","3"
"333.000","0"
"334.000","2"
