"Interval start","Graph 1"
"0.000","838"
"1.000","3222"
"2.000","43844"
"3.000","42719"
"4.000","79216"
"5.000","579017"
"6.000","1724969"
"7.000","1162493"
"8.000","1060024"
"9.000","1159677"
"10.000","1134132"
"11.000","1059815"
"12.000","1163762"
"13.000","1091371"
"14.000","1098106"
"15.000","1147295"
"16.000","1054322"
"17.000","246992"
"18.000","10120"
"19.000","7217"
"20.000","6618"
"21.000","6683"
"22.000","7548"
"23.000","15907"
"24.000","2446"
"25.000","14979"
"26.000","24685"
"27.000","15852"
"28.000","484"
"29.000","14117"
"30.000","26560"
"31.000","7636"
"32.000","6625"
"33.000","7994"
"34.000","7449"
"35.000","7154"
"36.000","6691"
"37.000","14600"
"38.000","955"
"39.000","7453"
"40.000","8112"
"41.000","7334"
"42.000","7753"
"43.000","14799"
"44.000","98592"
"45.000","1240"
"46.000","6993"
"47.000","8156"
"48.000","7255"
"49.000","6878"
"50.000","7297"
"51.000","13903"
"52.000","382"
"53.000","7896"
"54.000","7551"
"55.000","6872"
"56.000","7151"
"57.000","31863"
"58.000","7531"
"59.000","15795"
"60.000","7574"
"61.000","7103"
"62.000","6666"
"63.000","1868"
"64.000","13579"
"65.000","1270"
"66.000","14487"
"67.000","7986"
"68.000","38341"
"69.000","1416"
"70.000","8285"
"71.000","13965"
"72.000","1584"
"73.000","10786"
"74.000","7777"
"75.000","13717"
"76.000","418"
"77.000","7730"
"78.000","7937"
"79.000","7036"
"80.000","6943"
"81.000","6990"
"82.000","7392"
"83.000","7371"
"84.000","14759"
"85.000","2758"
"86.000","7163"
"87.000","16533"
"88.000","24745"
"89.000","6830"
"90.000","10809"
"91.000","12197"
"92.000","8622"
"93.000","1462"
"94.000","13597"
"95.000","7115"
"96.000","140"
"97.000","7606"
"98.000","6711"
"99.000","6688"
"100.000","30535"
"101.000","7458"
"102.000","8891"
"103.000","8194"
"104.000","7567"
"105.000","7032"
"106.000","6809"
"107.000","7874"
"108.000","30709"
"109.000","7076"
"110.000","7129"
"111.000","7102"
"112.000","6755"
"113.000","8138"
"114.000","7463"
"115.000","6990"
"116.000","9419"
"117.000","9434"
"118.000","7863"
"119.000","30867"
"120.000","7137"
"121.000","7227"
"122.000","7210"
"123.000","8058"
"124.000","7164"
"125.000","6998"
"126.000","6809"
"127.000","7542"
"128.000","30710"
"129.000","6932"
"130.000","9713"
"131.000","7328"
"132.000","7415"
"133.000","7794"
"134.000","7193"
"135.000","7084"
"136.000","6952"
"137.000","9700"
"138.000","7495"
"139.000","7258"
"140.000","6833"
"141.000","6880"
"142.000","6849"
"143.000","5301"
"144.000","8275"
"145.000","9074"
"146.000","7351"
"147.000","7416"
"148.000","7341"
"149.000","30720"
"150.000","31088"
"151.000","6858"
"152.000","6940"
"153.000","7784"
"154.000","7131"
"155.000","6956"
"156.000","6707"
"157.000","8133"
"158.000","7882"
"159.000","10083"
"160.000","7910"
"161.000","7334"
"162.000","7285"
"163.000","8076"
"164.000","7887"
"165.000","7064"
"166.000","7039"
"167.000","7584"
"168.000","7565"
"169.000","6748"
"170.000","7123"
"171.000","7216"
"172.000","6547"
"173.000","10362"
"174.000","7457"
"175.000","7088"
"176.000","6819"
"177.000","9776"
"178.000","7587"
"179.000","7391"
"180.000","7542"
"181.000","30645"
