"Interval start","Graph 1"
"0.000","18633"
"1.000","55077"
"2.000","36004"
"3.000","65694"
"4.000","128196"
"5.000","103233"
"6.000","100789"
"7.000","100813"
"8.000","84074"
"9.000","104645"
"10.000","100482"
"11.000","82162"
"12.000","100814"
"13.000","94979"
"14.000","95822"
"15.000","95347"
"16.000","103657"
"17.000","106466"
"18.000","85312"
"19.000","101308"
"20.000","92001"
"21.000","99501"
"22.000","90046"
"23.000","99687"
"24.000","96634"
"25.000","96918"
"26.000","100998"
"27.000","103692"
"28.000","112050"
"29.000","81819"
"30.000","103221"
"31.000","91404"
"32.000","103152"
"33.000","98345"
"34.000","95544"
"35.000","95414"
"36.000","97894"
"37.000","106229"
"38.000","81104"
"39.000","103396"
"40.000","84462"
"41.000","103306"
"42.000","97849"
"43.000","94533"
"44.000","96551"
"45.000","99956"
"46.000","108558"
"47.000","81599"
"48.000","106674"
"49.000","99090"
"50.000","86551"
"51.000","103906"
"52.000","100683"
"53.000","92594"
"54.000","82761"
"55.000","105630"
"56.000","102584"
"57.000","93900"
"58.000","93837"
"59.000","104084"
"60.000","81490"
"61.000","104222"
"62.000","103310"
"63.000","80582"
"64.000","101584"
"65.000","96862"
"66.000","96118"
"67.000","97316"
"68.000","100392"
"69.000","106371"
"70.000","84927"
"71.000","85350"
"72.000","101995"
"73.000","96316"
"74.000","93750"
"75.000","99608"
"76.000","101188"
"77.000","109510"
"78.000","81959"
"79.000","86424"
"80.000","101422"
"81.000","92127"
"82.000","95157"
"83.000","99698"
"84.000","101480"
"85.000","111147"
"86.000","93272"
"87.000","103236"
"88.000","105844"
"89.000","84159"
"90.000","103623"
"91.000","82620"
"92.000","100546"
"93.000","94797"
"94.000","93948"
"95.000","100246"
"96.000","103496"
"97.000","109428"
"98.000","83936"
"99.000","106177"
"100.000","84710"
"101.000","102465"
"102.000","96627"
"103.000","95754"
"104.000","97022"
"105.000","101470"
"106.000","105892"
"107.000","85734"
"108.000","105429"
"109.000","102164"
"110.000","88183"
"111.000","97784"
"112.000","102973"
"113.000","81109"
"114.000","102043"
"115.000","95414"
"116.000","95850"
"117.000","97524"
"118.000","100392"
"119.000","107526"
"120.000","84105"
"121.000","102424"
"122.000","105263"
"123.000","83239"
"124.000","101616"
"125.000","100971"
"126.000","97600"
"127.000","97091"
"128.000","99048"
"129.000","82254"
"130.000","105087"
"131.000","86836"
"132.000","98754"
